sample_id,source_inventory,latitude,longitude,landslide,copernicus_elevation_m,copernicus_slope_deg,copernicus_aspect_deg,copernicus_plan_curvature,copernicus_profile_curvature,copernicus_twi,gpm_imerg_rainfall_1d_mm,gpm_imerg_rainfall_3d_mm,gpm_imerg_rainfall_7d_mm,gpm_imerg_peak_intensity_mm_h,smap_surface_moisture_m3m3,smap_rootzone_moisture_m3m3,smap_soil_saturation_ratio,sentinel1_sar_vv_db,sentinel1_sar_vh_db,sentinel1_polarimetric_ratio_vh_vv,sentinel1_interferometric_coherence,sentinel2_ndvi,sentinel2_ndwi,sentinel2_bsi,nasa_lhasa_nowcast_score,nasa_lhasa_antecedent_rainfall_index,nasa_lhasa_susceptibility_category,split
APDA-V2-NEG-0488,Spatial Negative Buffer Control,25.78351,90.19555,0,1003.8,0.37,16.7,0.00633,-0.00751,9.29,6.88,30.94,61.6,1.15,0.347,0.319,0.74,-12.56,-20.9,-8.34,0.634,0.756,-0.105,-0.157,0.297,36.98,3.0,train
APDA-V2-NEG-0095,Spatial Negative Buffer Control,25.73685,93.12433,0,1692.2,2.9,125.3,-0.01614,0.01421,7.32,1.57,4.79,35.63,0.26,0.237,0.218,0.551,-15.59,-21.73,-6.14,0.92,0.857,0.046,-0.159,0.043,15.72,2.0,train
APDA-V2-POS-0234,NASA COOLR (Verified Event),25.75478,91.90707,1,1441.6,36.22,176.2,-0.06845,0.03443,5.79,64.08,207.26,389.64,13.27,0.33,0.303,0.68,-7.23,-20.76,-13.53,0.42,0.48,0.65,0.58,0.916,337.9,4.0,train
APDA-V2-POS-0775,NASA COOLR (Verified Event),23.72899,92.71307,1,532.1,25.47,211.1,0.00901,0.02098,6.67,104.83,224.72,423.56,21.13,0.331,0.305,0.68,-7.12,-14.15,-7.04,0.191,0.438,0.579,0.489,0.845,368.39,4.0,train
APDA-V2-NEG-0086,Spatial Negative Buffer Control,25.57185,91.93054,0,1502.2,4.37,139.7,0.01415,0.0121,5.96,4.08,11.73,15.35,0.68,0.161,0.148,0.356,-14.92,-20.48,-5.56,0.653,0.55,0.086,-0.012,0.205,6.39,1.0,train
APDA-V2-NEG-0455,Spatial Negative Buffer Control,27.50928,87.98898,0,2220.1,2.29,90.9,-0.01077,-0.00209,7.07,1.4,20.51,43.93,0.23,0.173,0.159,0.375,-18.41,-21.26,-2.85,0.567,0.88,-0.137,-0.11,0.204,18.94,1.0,train
APDA-V2-NEG-0300,Spatial Negative Buffer Control,25.79313,91.7439,0,1872.9,10.09,22.9,-0.00736,-0.01722,6.26,3.77,16.36,32.6,0.63,0.196,0.181,0.445,-14.7,-22.56,-7.85,0.75,0.802,-0.085,0.002,0.237,16.05,2.0,train
APDA-V2-POS-0759,NASA COOLR (Verified Event),25.75206,91.9014,1,1178.0,32.87,236.5,-0.01884,0.04906,5.36,81.64,289.16,476.16,13.49,0.417,0.386,0.847,-9.77,-15.38,-5.61,0.328,0.246,0.65,0.528,0.775,365.0,5.0,train
APDA-V2-POS-0119,NASA COOLR (Verified Event),27.18488,88.36095,1,1966.1,42.64,104.8,-0.05019,0.04735,6.14,50.78,193.94,275.6,11.9,0.44,0.404,0.829,-8.56,-14.11,-5.55,0.153,0.236,0.406,0.303,0.975,233.13,5.0,train
APDA-V2-NEG-0520,Spatial Negative Buffer Control,27.7201,91.55288,0,3750.6,11.03,145.2,-0.01111,0.00282,6.55,2.45,12.71,49.98,0.41,0.213,0.196,0.48,-15.91,-15.26,0.65,0.729,0.869,-0.035,-0.119,0.06,31.67,1.0,train
APDA-V2-POS-0900,NASA COOLR (Verified Event),24.78649,93.68191,1,788.6,35.36,139.9,-0.07144,0.06887,6.31,61.81,215.07,355.37,17.24,0.456,0.421,0.869,-7.21,-13.17,-5.96,0.176,0.215,0.65,0.58,0.62,271.05,5.0,train
APDA-V2-NEG-0030,Spatial Negative Buffer Control,24.55538,92.9525,0,507.0,0.53,226.4,0.01732,0.00846,8.92,0.01,18.91,34.89,0.0,0.169,0.156,0.399,-13.24,-21.33,-8.1,0.45,0.55,0.15,-0.003,0.48,14.45,1.0,train
APDA-V2-POS-0216,NASA COOLR (Verified Event),25.56505,91.87799,1,1025.3,27.31,141.4,-0.06943,0.03306,6.54,55.64,213.74,388.44,14.87,0.335,0.303,0.68,-11.06,-15.8,-4.73,0.224,0.48,0.647,0.517,0.95,333.13,5.0,train
APDA-V2-NEG-0244,Spatial Negative Buffer Control,27.5119,88.32239,0,3734.2,9.88,209.6,-0.00636,0.00941,6.38,4.58,19.46,34.1,0.76,0.078,0.072,0.186,-16.55,-22.49,-5.94,0.825,0.88,-0.041,-0.12,0.466,19.16,1.0,train
APDA-V2-POS-0459,NASA COOLR (Verified Event),24.78074,93.67686,1,293.2,34.27,303.2,-0.08026,0.02867,6.2,42.69,164.91,220.73,13.81,0.364,0.327,0.738,-6.32,-14.86,-8.55,0.184,0.425,0.65,0.58,0.62,196.23,5.0,train
APDA-V2-NEG-0406,Spatial Negative Buffer Control,25.41899,93.29757,0,1196.5,1.31,205.4,-0.01555,-0.01109,8.79,2.96,5.42,45.1,0.49,0.072,0.066,0.146,-15.45,-20.97,-5.51,0.92,0.55,-0.128,-0.146,0.136,24.79,2.0,train
APDA-V2-POS-0019,NASA COOLR (Verified Event),23.73302,92.71747,1,696.9,25.45,227.6,-0.04309,0.03142,6.49,49.31,217.56,299.37,8.63,0.39,0.359,0.743,-10.57,-15.26,-4.69,0.153,0.306,0.613,0.58,0.929,283.88,5.0,train
APDA-V2-NEG-0780,Spatial Negative Buffer Control,25.94323,91.52936,0,796.3,1.5,70.7,-0.00039,-0.01945,7.88,0.57,6.53,18.98,0.1,0.238,0.219,0.542,-14.15,-19.16,-5.01,0.92,0.88,-0.039,-0.112,0.308,12.17,1.0,train
APDA-V2-POS-0585,NASA COOLR (Verified Event),24.78472,93.68726,1,416.2,26.36,158.0,-0.06605,0.04821,6.02,39.2,147.08,341.72,10.01,0.357,0.319,0.717,-13.96,-15.2,-1.24,0.176,0.48,0.65,0.58,0.757,282.43,4.0,train
APDA-V2-NEG-0047,Spatial Negative Buffer Control,25.30208,90.97523,0,1060.0,3.08,86.5,0.00436,-0.00355,6.53,5.83,23.69,39.25,0.97,0.21,0.194,0.423,-18.81,-19.68,-0.87,0.92,0.868,-0.027,0.03,0.145,24.2,1.0,train
APDA-V2-NEG-0657,Spatial Negative Buffer Control,25.8488,92.07768,0,1593.0,1.53,256.8,0.00383,0.0056,8.41,6.65,18.47,35.34,1.11,0.107,0.098,0.246,-7.46,-16.9,-9.44,0.92,0.719,0.15,-0.12,0.26,14.44,1.0,train
APDA-V2-NEG-0259,Spatial Negative Buffer Control,24.78442,92.86136,0,1107.9,1.17,55.6,0.00036,-0.01805,8.73,9.49,26.3,33.95,1.58,0.085,0.078,0.186,-16.44,-21.53,-5.09,0.615,0.88,0.15,0.017,0.338,18.55,1.0,train
APDA-V2-NEG-0452,Spatial Negative Buffer Control,26.16132,93.27541,0,712.9,3.02,165.6,-0.01238,0.00682,7.91,15.91,18.94,42.58,2.65,0.154,0.142,0.339,-13.45,-13.5,-0.05,0.45,0.868,-0.049,-0.08,0.108,18.52,3.0,train
APDA-V2-POS-0802,NASA COOLR (Verified Event),25.44931,92.18997,1,1362.6,40.84,33.2,-0.05865,0.02009,5.24,93.81,231.53,378.95,15.17,0.493,0.45,0.94,-10.58,-20.14,-9.56,0.38,0.12,0.45,0.424,0.746,300.48,4.0,train
APDA-V2-NEG-0392,Spatial Negative Buffer Control,26.85221,88.65315,0,1393.4,1.68,264.6,-0.00545,-0.00336,8.1,12.74,21.59,41.14,2.12,0.14,0.129,0.313,-13.87,-17.94,-4.06,0.693,0.55,-0.25,-0.075,0.364,21.89,1.0,train
APDA-V2-NEG-0132,Spatial Negative Buffer Control,25.88669,91.7149,0,1259.2,13.15,64.2,0.00777,0.00062,5.04,3.33,17.9,30.55,0.56,0.091,0.083,0.209,-14.93,-17.67,-2.74,0.759,0.751,0.026,-0.058,0.329,15.18,1.0,train
APDA-V2-POS-0431,NASA COOLR (Verified Event),26.00131,93.42329,1,1658.7,24.31,233.3,-0.00775,0.05418,5.6,118.42,241.59,351.77,23.94,0.495,0.462,0.961,-9.37,-19.4,-10.04,0.176,0.48,0.65,0.58,0.935,278.55,5.0,train
APDA-V2-NEG-0203,Spatial Negative Buffer Control,27.63394,87.96081,0,1849.6,7.31,23.5,0.01233,-0.00777,6.37,19.41,24.65,53.1,3.23,0.173,0.159,0.382,-16.93,-17.64,-0.71,0.91,0.808,-0.199,-0.063,0.339,27.44,2.0,train
APDA-V2-POS-0536,NASA COOLR (Verified Event),26.0185,93.41882,1,1952.3,41.68,218.7,-0.0146,0.04735,5.63,67.13,170.71,419.56,17.79,0.39,0.357,0.801,-5.64,-10.27,-4.63,0.225,0.189,0.65,0.273,0.966,347.89,5.0,train
APDA-V2-POS-0553,NASA COOLR (Verified Event),25.18572,93.02257,1,1428.5,31.23,230.4,-0.06011,0.06923,4.95,92.98,290.07,406.48,20.62,0.328,0.301,0.68,-6.34,-17.65,-11.3,0.314,0.48,0.65,0.58,0.62,353.02,5.0,train
APDA-V2-POS-0017,NASA COOLR (Verified Event),27.1059,93.61528,1,3210.5,33.94,232.4,-0.0074,0.02698,5.53,57.63,198.88,481.25,12.04,0.425,0.379,0.791,-5.49,-15.33,-9.84,0.111,0.179,0.428,0.449,0.861,398.41,4.0,train
APDA-V2-NEG-0045,Spatial Negative Buffer Control,25.43855,92.02865,0,1702.2,0.67,189.9,0.00249,-0.0033,8.08,19.24,40.11,70.74,3.21,0.208,0.192,0.46,-17.02,-21.63,-4.61,0.686,0.791,-0.068,-0.056,0.15,37.97,2.0,train
APDA-V2-NEG-0713,Spatial Negative Buffer Control,25.40377,94.46706,0,1156.3,10.76,59.9,0.01118,-0.00183,5.17,6.22,15.82,22.96,1.04,0.144,0.132,0.313,-11.22,-20.93,-9.71,0.629,0.88,0.004,-0.069,0.148,12.42,3.0,train
APDA-V2-NEG-0629,Spatial Negative Buffer Control,25.25893,93.85219,0,1284.5,2.74,140.2,0.00046,-0.00123,7.95,8.71,29.51,46.05,1.45,0.2,0.184,0.462,-15.01,-23.06,-8.04,0.857,0.65,0.043,-0.047,0.159,27.59,1.0,train
APDA-V2-NEG-0284,Spatial Negative Buffer Control,25.67663,93.8333,0,1135.6,4.05,214.4,-0.00526,0.01901,6.89,8.34,18.3,26.71,1.39,0.124,0.114,0.278,-11.71,-22.87,-11.16,0.635,0.801,-0.065,-0.024,0.253,11.95,1.0,train
APDA-V2-NEG-0202,Spatial Negative Buffer Control,27.66791,88.84844,0,1723.6,6.64,103.8,0.01408,0.00237,6.47,18.1,29.62,44.27,3.02,0.147,0.135,0.295,-11.84,-19.17,-7.33,0.913,0.88,-0.042,-0.182,0.107,19.59,1.0,train
APDA-V2-POS-0209,NASA COOLR (Verified Event),25.67564,94.10762,1,736.2,36.32,219.6,-0.04702,0.05393,6.15,60.62,155.92,354.96,11.37,0.439,0.399,0.782,-10.47,-12.26,-1.79,0.251,0.126,0.208,0.3,0.945,319.68,4.0,train
APDA-V2-POS-0500,NASA COOLR (Verified Event),27.09772,93.61208,1,2217.0,31.66,229.8,-0.05266,0.01699,6.12,126.19,311.78,520.08,19.46,0.363,0.335,0.753,-11.47,-14.42,-2.94,0.417,0.48,0.478,0.58,0.882,475.84,5.0,train
APDA-V2-POS-0530,NASA COOLR (Verified Event),25.6031,90.58314,1,1064.6,32.04,209.1,-0.05599,0.07328,6.55,43.03,110.66,323.75,9.84,0.404,0.357,0.818,-9.66,-15.23,-5.56,0.225,0.329,0.554,0.58,0.698,260.88,4.0,train
APDA-V2-POS-0506,NASA COOLR (Verified Event),25.29392,91.70497,1,1159.5,29.68,159.9,-0.04627,0.04882,6.29,94.05,184.64,345.31,17.1,0.469,0.42,0.872,-5.75,-16.86,-11.12,0.42,0.221,0.325,0.58,0.851,278.08,5.0,train
APDA-V2-NEG-0596,Spatial Negative Buffer Control,25.38628,92.72,0,1189.7,2.87,106.1,-0.01161,0.00132,7.88,0.44,20.01,37.0,0.07,0.118,0.109,0.244,-15.65,-21.15,-5.51,0.793,0.55,-0.143,-0.105,0.134,18.96,1.0,train
APDA-V2-POS-0473,NASA COOLR (Verified Event),26.00649,93.42038,1,1302.9,34.0,147.0,-0.04106,0.06441,5.23,35.0,89.66,197.4,10.36,0.359,0.328,0.68,-5.6,-15.2,-9.6,0.182,0.48,0.378,0.58,0.847,186.21,4.0,train
APDA-V2-POS-0001,NASA COOLR (Verified Event),25.53083,91.86896,1,1235.5,44.99,284.6,-0.03088,0.02831,5.25,108.82,258.74,496.93,21.51,0.412,0.374,0.784,-9.99,-16.17,-6.18,0.42,0.337,0.444,0.538,0.801,395.35,5.0,train
APDA-V2-NEG-0299,Spatial Negative Buffer Control,25.86627,90.20635,0,753.8,0.57,98.8,-0.00384,-0.00071,8.5,0.39,20.24,24.55,0.06,0.181,0.166,0.387,-14.57,-20.9,-6.33,0.45,0.787,0.13,0.12,0.079,11.75,2.0,train
APDA-V2-NEG-0800,Spatial Negative Buffer Control,25.49637,92.08605,0,1903.8,0.26,1.9,-0.00689,0.00506,9.54,5.86,13.24,37.94,0.98,0.124,0.114,0.261,-15.04,-22.63,-7.59,0.858,0.6,-0.131,-0.147,0.053,15.75,1.0,train
APDA-V2-POS-0447,NASA COOLR (Verified Event),25.56827,91.88113,1,1769.7,37.52,136.9,-0.0531,0.0322,5.96,82.43,260.14,315.66,16.09,0.361,0.316,0.711,-10.05,-9.54,0.51,0.42,0.438,0.65,0.563,0.918,277.91,5.0,train
APDA-V2-POS-0259,NASA COOLR (Verified Event),25.18536,93.02242,1,638.1,29.6,27.4,-0.02251,0.00624,6.27,79.84,246.52,522.57,14.33,0.339,0.305,0.691,-11.08,-14.77,-3.69,0.208,0.384,0.65,0.458,0.923,443.64,5.0,train
APDA-V2-NEG-0545,Spatial Negative Buffer Control,26.05561,93.92443,0,1676.0,3.71,107.9,0.00881,0.00903,6.01,13.41,32.49,61.67,2.24,0.213,0.196,0.469,-14.04,-17.75,-3.71,0.76,0.808,0.087,-0.132,0.333,28.2,1.0,train
APDA-V2-NEG-0653,Spatial Negative Buffer Control,24.90075,91.54069,0,379.5,7.7,51.7,0.00254,0.00957,6.37,1.71,2.78,27.3,0.28,0.109,0.1,0.245,-12.22,-21.8,-9.58,0.723,0.786,-0.021,-0.033,0.093,13.4,2.0,train
APDA-V2-POS-0062,NASA COOLR (Verified Event),25.67799,94.11084,1,633.2,32.85,175.5,-0.14012,0.03244,5.75,227.22,280.86,377.72,30.82,0.453,0.416,0.817,-7.19,-18.61,-11.42,0.42,0.336,0.468,0.485,0.799,339.91,5.0,train
APDA-V2-NEG-0103,Spatial Negative Buffer Control,24.04444,93.0219,0,268.0,16.0,61.1,0.00073,0.00394,5.31,6.11,22.22,42.8,1.02,0.122,0.112,0.29,-13.6,-24.41,-10.81,0.53,0.805,-0.074,-0.2,0.289,26.5,2.0,train
APDA-V2-POS-0675,NASA COOLR (Verified Event),25.7549,91.90943,1,1064.2,36.83,140.4,-0.02513,0.06964,5.99,37.67,140.58,395.41,12.26,0.484,0.445,0.881,-13.99,-13.75,0.24,0.194,0.456,0.65,0.289,0.651,301.0,4.0,train
APDA-V2-POS-0773,NASA COOLR (Verified Event),27.09108,93.61962,1,3027.0,39.69,62.3,-0.03094,0.01216,5.97,40.59,162.43,231.09,9.08,0.489,0.461,0.973,-10.41,-13.39,-2.97,0.384,0.368,0.627,0.311,0.754,178.04,4.0,train
APDA-V2-NEG-0756,Spatial Negative Buffer Control,27.40093,88.0191,0,2712.2,10.33,242.9,0.01199,0.0013,6.56,0.15,3.49,17.74,0.02,0.108,0.099,0.238,-14.5,-18.16,-3.67,0.45,0.687,-0.049,-0.058,0.48,8.62,3.0,train
APDA-V2-NEG-0249,Spatial Negative Buffer Control,25.05696,93.99156,0,993.9,6.06,43.5,-0.00323,0.01631,7.11,4.53,25.0,44.38,0.75,0.038,0.035,0.078,-17.01,-22.31,-5.29,0.797,0.756,-0.197,-0.071,0.388,22.41,1.0,train
APDA-V2-POS-0152,NASA COOLR (Verified Event),25.60474,90.58308,1,726.9,46.73,197.9,-0.07774,0.02735,4.63,43.52,100.39,277.07,14.8,0.382,0.335,0.75,-10.37,-15.38,-5.01,0.42,0.454,0.487,0.58,0.876,233.99,5.0,train
APDA-V2-NEG-0559,Spatial Negative Buffer Control,26.96141,88.96637,0,1079.1,0.54,167.9,-0.0122,0.00753,9.26,0.0,1.32,31.92,0.0,0.075,0.069,0.157,-14.04,-17.28,-3.24,0.699,0.664,-0.165,-0.017,0.309,13.83,1.0,train
APDA-V2-POS-0751,NASA COOLR (Verified Event),27.58644,91.86888,1,2155.3,45.53,238.0,-0.02584,0.03919,6.0,47.01,143.32,224.54,13.38,0.339,0.3,0.68,-6.51,-14.21,-7.7,0.42,0.161,0.254,0.387,0.814,188.59,5.0,train
APDA-V2-POS-0854,NASA COOLR (Verified Event),27.18578,88.36127,1,3595.7,33.93,294.3,0.0057,0.02672,5.45,76.35,174.26,294.23,20.05,0.487,0.445,0.895,-10.44,-19.96,-9.52,0.265,0.196,0.649,0.58,0.848,251.55,5.0,train
APDA-V2-NEG-0243,Spatial Negative Buffer Control,27.82389,88.89499,0,1636.9,13.73,261.0,-0.00253,0.02524,6.05,3.83,22.58,31.76,0.64,0.309,0.284,0.62,-13.83,-20.58,-6.75,0.783,0.827,-0.021,-0.067,0.401,19.29,1.0,train
APDA-V2-POS-0242,NASA COOLR (Verified Event),26.01253,93.4197,1,1870.5,32.24,141.5,-0.06405,0.05954,5.29,112.09,300.97,363.47,24.97,0.432,0.389,0.804,-11.19,-16.86,-5.67,0.303,0.189,0.609,0.58,0.933,297.39,5.0,train
APDA-V2-POS-0395,NASA COOLR (Verified Event),27.09537,93.61587,1,2893.1,32.77,298.7,-0.04276,0.00405,5.99,139.24,320.43,537.05,31.22,0.449,0.412,0.832,-9.08,-9.57,-0.49,0.284,0.317,0.364,0.58,0.825,482.75,5.0,train
APDA-V2-NEG-0506,Spatial Negative Buffer Control,25.70435,91.84044,0,954.0,4.71,234.6,0.0002,-0.00713,6.21,4.96,21.89,43.45,0.83,0.13,0.12,0.31,-14.33,-20.81,-6.48,0.725,0.692,-0.209,-0.178,0.155,18.06,1.0,train
APDA-V2-NEG-0268,Spatial Negative Buffer Control,27.20763,91.52918,0,2268.0,0.4,148.1,-0.00453,-0.01285,9.44,3.33,21.32,58.7,0.55,0.22,0.203,0.465,-13.97,-23.26,-9.3,0.795,0.88,-0.127,-0.026,0.226,37.43,1.0,train
APDA-V2-NEG-0617,Spatial Negative Buffer Control,24.80405,93.02752,0,1366.2,0.21,262.8,-0.00978,0.01625,8.77,3.79,12.98,44.96,0.63,0.254,0.234,0.525,-13.61,-17.37,-3.76,0.831,0.88,-0.147,-0.154,0.154,19.58,1.0,train
APDA-V2-POS-0165,NASA COOLR (Verified Event),24.78213,93.6841,1,1183.5,23.71,217.8,-0.04101,0.00268,6.51,99.97,284.43,433.32,21.44,0.332,0.303,0.68,-8.15,-17.22,-9.07,0.245,0.48,0.585,0.58,0.859,387.08,5.0,train
APDA-V2-POS-0160,NASA COOLR (Verified Event),27.33595,88.61631,1,3779.9,43.96,178.7,-0.06474,0.00737,5.25,119.48,228.93,335.84,31.61,0.372,0.336,0.68,-10.9,-12.55,-1.65,0.42,0.309,0.314,0.527,0.81,266.04,5.0,train
APDA-V2-POS-0075,NASA COOLR (Verified Event),27.69321,88.57771,1,2355.2,35.52,207.3,-0.04194,0.02679,5.26,51.95,208.97,267.91,11.4,0.415,0.366,0.8,-9.26,-13.78,-4.52,0.214,0.437,0.65,0.439,0.62,217.61,5.0,train
APDA-V2-NEG-0820,Spatial Negative Buffer Control,25.71319,92.0618,0,1174.0,0.72,93.0,0.01296,0.01246,8.36,0.8,22.13,49.13,0.13,0.21,0.193,0.442,-10.44,-22.22,-11.79,0.837,0.764,-0.043,0.025,0.235,23.59,1.0,train
APDA-V2-NEG-0068,Spatial Negative Buffer Control,25.17708,90.28248,0,627.5,4.05,79.5,0.02416,0.00288,7.64,1.03,16.42,36.09,0.17,0.095,0.087,0.205,-12.0,-17.47,-5.47,0.767,0.849,-0.069,-0.009,0.48,22.68,1.0,train
APDA-V2-NEG-0148,Spatial Negative Buffer Control,25.69714,91.4534,0,1355.3,1.49,180.0,0.0157,-0.00489,7.58,16.41,27.4,47.1,2.74,0.251,0.231,0.522,-13.77,-18.47,-4.7,0.888,0.779,0.049,-0.062,0.459,29.01,2.0,train
APDA-V2-NEG-0641,Spatial Negative Buffer Control,25.63636,93.55382,0,1866.4,0.46,347.7,0.00425,0.01676,9.51,7.78,21.52,43.31,1.3,0.094,0.087,0.192,-13.75,-17.85,-4.1,0.707,0.809,-0.117,-0.152,0.345,25.06,1.0,train
APDA-V2-NEG-0718,Spatial Negative Buffer Control,25.15504,92.59105,0,1091.4,2.2,285.7,-0.01389,-0.00016,8.04,21.6,36.87,44.59,3.6,0.204,0.188,0.45,-13.78,-21.18,-7.4,0.45,0.855,-0.089,-0.098,0.183,27.82,1.0,train
APDA-V2-NEG-0195,Spatial Negative Buffer Control,25.26751,92.24419,0,1786.4,1.92,260.4,-0.00952,0.00595,7.84,5.21,19.21,53.59,0.87,0.278,0.255,0.621,-16.02,-21.63,-5.61,0.601,0.873,-0.103,-0.1,0.158,23.93,3.0,train
APDA-V2-POS-0401,NASA COOLR (Verified Event),25.29864,91.7165,1,838.0,36.9,211.0,-0.05849,0.05199,5.04,80.43,270.93,452.74,19.39,0.479,0.433,0.866,-7.7,-17.87,-10.17,0.086,0.467,0.65,0.403,0.649,417.59,5.0,train
APDA-V2-NEG-0580,Spatial Negative Buffer Control,27.46582,88.90936,0,2072.1,5.57,295.7,-0.00312,0.00568,6.66,0.95,25.47,45.16,0.16,0.294,0.27,0.675,-21.2,-20.75,0.44,0.552,0.786,0.058,-0.077,0.386,19.17,2.0,train
APDA-V2-POS-0766,NASA COOLR (Verified Event),26.17464,91.75908,1,1321.5,22.98,167.4,-0.04586,0.0779,6.07,113.45,313.34,407.82,23.46,0.413,0.365,0.729,-9.75,-20.05,-10.3,0.278,0.48,0.65,0.58,0.84,324.78,4.0,train
APDA-V2-POS-0491,NASA COOLR (Verified Event),25.07496,93.15037,1,1777.2,35.93,172.7,-0.03157,0.03378,5.72,86.3,228.75,465.32,15.99,0.37,0.327,0.68,-12.88,-13.17,-0.3,0.31,0.48,0.583,0.486,0.907,413.17,4.0,train
APDA-V2-NEG-0080,Spatial Negative Buffer Control,27.52217,93.377,0,1506.8,1.07,232.4,0.00183,-0.00048,8.64,28.0,32.19,70.0,4.67,0.065,0.06,0.147,-17.5,-17.35,0.16,0.92,0.88,0.07,0.024,0.269,43.44,1.0,train
APDA-V2-POS-0263,NASA COOLR (Verified Event),26.01156,93.42589,1,1501.8,37.18,168.8,-0.0251,0.00149,6.03,50.05,197.73,468.39,8.83,0.358,0.316,0.68,-10.13,-15.45,-5.33,0.314,0.48,0.605,0.58,0.781,422.67,4.0,train
APDA-V2-NEG-0862,Spatial Negative Buffer Control,25.40485,92.25206,0,841.9,5.12,151.1,-0.00768,0.01546,7.4,2.35,18.4,30.12,0.39,0.044,0.04,0.104,-14.11,-26.43,-12.31,0.873,0.833,-0.147,-0.089,0.305,16.56,2.0,train
APDA-V2-POS-0355,NASA COOLR (Verified Event),23.7351,92.71296,1,1061.1,46.21,206.6,-0.06037,0.01862,5.47,142.93,246.47,356.09,30.06,0.378,0.349,0.796,-9.51,-17.53,-8.01,0.1,0.48,0.15,0.58,0.799,306.84,5.0,train
APDA-V2-NEG-0825,Spatial Negative Buffer Control,25.79618,92.07609,0,1132.7,16.0,16.1,0.00946,-0.0079,5.37,2.49,13.37,51.17,0.41,0.081,0.075,0.185,-8.1,-16.77,-8.67,0.747,0.88,-0.114,-0.026,0.063,20.98,1.0,train
APDA-V2-NEG-0615,Spatial Negative Buffer Control,25.37998,91.72412,0,1829.7,3.73,340.7,0.00837,0.0059,7.47,0.96,18.11,46.15,0.16,0.258,0.237,0.6,-12.74,-19.7,-6.95,0.59,0.823,-0.25,-0.048,0.238,21.77,1.0,train
APDA-V2-NEG-0665,Spatial Negative Buffer Control,26.84569,88.61662,0,1037.8,1.47,168.4,-0.0162,0.00432,6.77,0.53,25.33,56.68,0.09,0.132,0.121,0.298,-13.22,-18.69,-5.47,0.92,0.561,0.033,-0.102,0.058,30.58,1.0,train
APDA-V2-POS-0526,NASA COOLR (Verified Event),25.53533,91.86436,1,1622.5,33.07,150.5,-0.01939,0.04919,5.34,71.6,187.52,389.88,15.97,0.398,0.353,0.731,-7.87,-18.61,-10.74,0.42,0.48,0.65,0.272,0.966,336.17,5.0,train
APDA-V2-NEG-0781,Spatial Negative Buffer Control,25.82395,91.99909,0,1169.3,0.85,88.0,0.00841,0.01235,8.42,10.38,16.22,20.78,1.73,0.243,0.224,0.525,-17.4,-15.28,2.11,0.718,0.88,-0.062,-0.085,0.07,11.24,2.0,train
APDA-V2-NEG-0428,Spatial Negative Buffer Control,24.67246,93.40846,0,280.7,8.19,60.9,0.00434,0.0186,6.76,13.98,35.21,51.29,2.33,0.081,0.074,0.186,-19.9,-18.04,1.86,0.849,0.819,-0.099,-0.2,0.176,31.62,2.0,train
APDA-V2-POS-0841,NASA COOLR (Verified Event),25.53068,91.87645,1,1157.0,42.0,115.1,-0.05369,0.02952,5.02,104.29,238.55,433.23,27.78,0.411,0.362,0.785,-7.58,-16.8,-9.22,0.131,0.478,0.61,0.58,0.864,371.94,5.0,train
APDA-V2-POS-0898,NASA COOLR (Verified Event),27.57648,91.86447,1,3721.9,24.26,228.1,-0.03201,0.06311,6.78,67.2,174.44,357.94,16.91,0.405,0.369,0.839,-6.11,-12.95,-6.84,0.08,0.128,0.65,0.58,0.946,281.03,5.0,train
APDA-V2-NEG-0747,Spatial Negative Buffer Control,27.91284,88.32678,0,1583.7,0.96,85.1,0.01912,0.00402,8.97,1.43,3.92,33.86,0.24,0.153,0.141,0.315,-15.35,-19.64,-4.28,0.906,0.84,-0.09,0.049,0.342,20.04,1.0,train
APDA-V2-POS-0226,NASA COOLR (Verified Event),27.58747,91.86568,1,1922.0,42.02,156.3,0.01685,0.04601,5.61,52.16,203.96,357.0,8.15,0.478,0.442,0.953,-3.77,-15.31,-11.55,0.08,0.48,0.63,0.58,0.822,280.88,4.0,train
APDA-V2-POS-0181,NASA COOLR (Verified Event),27.33501,88.61384,1,1591.7,28.14,194.8,-0.03879,0.03317,6.7,104.43,211.6,292.44,18.03,0.459,0.422,0.865,-8.72,-12.68,-3.96,0.42,0.48,0.65,0.58,0.892,254.23,5.0,train
APDA-V2-NEG-0167,Spatial Negative Buffer Control,25.36279,93.70715,0,1582.0,1.99,81.2,0.00917,-0.00161,7.78,12.54,19.23,40.74,2.09,0.345,0.317,0.691,-10.93,-18.97,-8.04,0.854,0.717,-0.186,-0.16,0.254,16.73,2.0,train
APDA-V2-NEG-0248,Spatial Negative Buffer Control,27.34192,93.78441,0,1943.9,5.22,109.7,0.0218,-0.00287,6.91,0.55,20.13,30.1,0.09,0.136,0.126,0.321,-11.57,-24.34,-12.77,0.656,0.876,-0.22,-0.14,0.256,16.87,1.0,train
APDA-V2-NEG-0697,Spatial Negative Buffer Control,25.07421,92.46988,0,1019.2,1.38,212.4,0.00158,0.00862,8.6,0.21,24.74,52.08,0.04,0.058,0.053,0.118,-14.26,-25.26,-11.01,0.678,0.749,-0.147,0.059,0.058,29.45,1.0,train
